dataset,file,row_count,source,status
medalpaca/medical_meadow_medical_flashcards,data/derived/medical_meadow/medalpaca__medical_meadow_medical_flashcards.jsonl,33955,https://huggingface.co/datasets/medalpaca/medical_meadow_medical_flashcards,downloaded
medalpaca/medical_meadow_wikidoc,data/derived/medical_meadow/medalpaca__medical_meadow_wikidoc.jsonl,10000,https://huggingface.co/datasets/medalpaca/medical_meadow_wikidoc,downloaded
medalpaca/medical_meadow_wikidoc_patient_information,data/derived/medical_meadow/medalpaca__medical_meadow_wikidoc_patient_information.jsonl,5942,https://huggingface.co/datasets/medalpaca/medical_meadow_wikidoc_patient_information,downloaded
medalpaca/medical_meadow_medqa,data/derived/medical_meadow/medalpaca__medical_meadow_medqa.jsonl,10178,https://huggingface.co/datasets/medalpaca/medical_meadow_medqa,downloaded
medalpaca/medical_meadow_mediqa,data/derived/medical_meadow/medalpaca__medical_meadow_mediqa.jsonl,2208,https://huggingface.co/datasets/medalpaca/medical_meadow_mediqa,downloaded
medalpaca/medical_meadow_pubmed_causal,data/derived/medical_meadow/medalpaca__medical_meadow_pubmed_causal.jsonl,2446,https://huggingface.co/datasets/medalpaca/medical_meadow_pubmed_causal,downloaded
medalpaca/medical_meadow_health_advice,data/derived/medical_meadow/medalpaca__medical_meadow_health_advice.jsonl,8676,https://huggingface.co/datasets/medalpaca/medical_meadow_health_advice,downloaded
medalpaca/medical_meadow_cord19,data/derived/medical_meadow/medalpaca__medical_meadow_cord19.jsonl,821007,https://huggingface.co/datasets/medalpaca/medical_meadow_cord19,downloaded
medalpaca/medical_meadow_mmmlu,data/derived/medical_meadow/medalpaca__medical_meadow_mmmlu.jsonl,3787,https://huggingface.co/datasets/medalpaca/medical_meadow_mmmlu,downloaded
FreedomIntelligence/medical-o1-reasoning-SFT:en,data/derived/medical_meadow/FreedomIntelligence__medical-o1-reasoning-SFT__en.jsonl,19704,https://huggingface.co/datasets/FreedomIntelligence/medical-o1-reasoning-SFT,downloaded
